"PVWatts Hourly PV Performance Data"
"Requested Location","Sarnia"
"Location","Lat, Lng: 42.97, -82.42"
"Latitude (DD)","42.97"
"Longitude (DD)","-82.42"
"Elevation (m)","180.88000488281"
"DC System Size (kW)","2491.5"
"Module Type","Premium"
"Array Type","1-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","96"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-4","4.4","0.87","0","-4","0","0"
"1","1","1","0","0","-5","4.3","0.87","0","-5","0","0"
"1","1","2","0","0","-5","4.1","0.87","0","-5","0","0"
"1","1","3","0","0","-6","3.9","0.87","0","-6","0","0"
"1","1","4","0","0","-6","3.9","0.87","0","-6","0","0"
"1","1","5","0","0","-6","3.9","0.87","0","-6","0","0"
"1","1","6","0","0","-7","3.8","0.87","0","-7","0","0"
"1","1","7","0","0","-7","3.6","0.87","0","-7","0","0"
"1","1","8","307","26","-7","3.5","0.87","107.963","-5.287","161974.397","146359.784"
"1","1","9","662","57","-6","4","0.87","432.991","1.442","1004471.061","959003.441"
"1","1","10","803","74","-5","4.6","0.87","543.032","3.613","1266834.433","1212070.236"
"1","1","11","863","84","-5","4.5","0.87","497.364","2.949","1138128.014","1087924.397"
"1","1","12","881","88","-5","4.1","0.87","448.113","2.529","1006325.531","960792.201"
"1","1","13","861","86","-5","3.9","0.87","489.808","3.507","1114616.008","1065245.515"
"1","1","14","805","77","-5","3.5","0.87","542.328","5.069","1258605.268","1204132.663"
"1","1","15","686","59","-5","2.9","0.87","469.182","4.59","1081644.077","1033441.91"
"1","1","16","395","29","-7","2.5","0.87","148.986","-3.922","283080.425","263174.544"
"1","1","17","0","0","-8","2.5","0.87","0","-8","0","0"
"1","1","18","0","0","-9","2.5","0.87","0","-9","0","0"
"1","1","19","0","0","-9","2.5","0.87","0","-9","0","0"
"1","1","20","0","0","-9","2.6","0.87","0","-9","0","0"
"1","1","21","0","0","-9","2.8","0.87","0","-9","0","0"
"1","1","22","0","0","-10","3","0.87","0","-10","0","0"
"1","1","23","0","0","-11","3.1","0.87","0","-11","0","0"
"1","2","0","0","0","-12","3.2","0.87","0","-12","0","0"
"1","2","1","0","0","-13","3.3","0.87","0","-13","0","0"
"1","2","2","0","0","-13","3.3","0.87","0","-13","0","0"
"1","2","3","0","0","-14","3.4","0.87","0","-14","0","0"
"1","2","4","0","0","-13","3.3","0.87","0","-13","0","0"
"1","2","5","0","0","-13","3.2","0.87","0","-13","0","0"
"1","2","6","0","0","-13","3","0.87","0","-13","0","0"
"1","2","7","0","0","-13","2.8","0.87","0","-13","0","0"
"1","2","8","0","18","-11","2.8","0.87","14.905","-10.737","20840.68","10226.996"
"1","2","9","14","75","-8","3.4","0.87","78.716","-6.529","174894.948","158822.509"
"1","2","10","35","122","-6","3.9","0.87","137.715","-3.607","311476.579","290564.509"
"1","2","11","37","155","-5","3.8","0.87","164.291","-2.108","369245.285","346286.24"
"1","2","12","50","168","-4","3.5","0.87","188.25","-0.539","419691.515","394944.96"
"1","2","13","35","155","-4","3.2","0.87","163.823","-0.836","366191.764","343340.918"
"1","2","14","21","123","-4","2.4","0.87","121.564","-1.296","270979.357","251502.265"
"1","2","15","0","45","-4","1.6","0.87","37.317","-3.027","79572.894","66878.094"
"1","2","16","0","13","-5","1.4","0.87","10.727","-4.722","18574.923","8041.524"
"1","2","17","0","0","-6","1.5","0.87","0","-6","0","0"
"1","2","18","0","0","-6","1.7","0.87","0","-6","0","0"
"1","2","19","0","0","-7","1.9","0.87","0","-7","0","0"
"1","2","20","0","0","-7","2.1","0.87","0","-7","0","0"
"1","2","21","0","0","-8","2.2","0.87","0","-8","0","0"
"1","2","22","0","0","-8","2.3","0.87","0","-8","0","0"
"1","2","23","0","0","-8","2.4","0.87","0","-8","0","0"
"1","3","0","0","0","-8","2.5","0.87","0","-8","0","0"
"1","3","1","0","0","-7","2.7","0.87","0","-7","0","0"
"1","3","2","0","0","-7","2.9","0.87","0","-7","0","0"
"1","3","3","0","0","-7","3","0.87","0","-7","0","0"
"1","3","4","0","0","-7","3.1","0.87","0","-7","0","0"
"1","3","5","0","0","-7","3.1","0.87","0","-7","0","0"
"1","3","6","0","0","-7","3.3","0.87","0","-7","0","0"
"1","3","7","0","0","-8","3.6","0.87","0","-8","0","0"
"1","3","8","0","12","-7","4.4","0.87","9.905","-6.863","13409.284","3058.924"
"1","3","9","0","31","-6","5.2","0.87","25.644","-5.627","54330.363","42530.007"
"1","3","10","0","76","-5","5.7","0.87","64.325","-4.117","141285.828","126404.293"
"1","3","11","34","152","-4","6","0.87","159.882","-1.878","358732.139","336145.617"
"1","3","12","0","138","-3","6.1","0.87","137.584","-1.198","304692.579","284020.893"
"1","3","13","111","181","-1","6","0.87","229.865","2.051","514311.685","486212.361"
"1","3","14","0","96","-1","5.6","0.87","82.968","0.153","180978.045","164690.057"
"1","3","15","0","27","-1","5.1","0.87","22.315","-0.671","46242.403","34728.635"
"1","3","16","228","37","-1","4.9","0.87","132.547","0.924","255726.892","236790.255"
"1","3","17","0","0","-2","4.4","0.87","0","-2","0","0"
"1","3","18","0","0","-3","4","0.87","0","-3","0","0"
"1","3","19","0","0","-4","4","0.87","0","-4","0","0"
"1","3","20","0","0","-4","4.2","0.87","0","-4","0","0"
"1","3","21","0","0","-4","4.4","0.87","0","-4","0","0"
"1","3","22","0","0","-4","4.3","0.87","0","-4","0","0"
"1","3","23","0","0","-5","4.3","0.87","0","-5","0","0"
"1","4","0","0","0","-5","4.6","0.87","0","-5","0","0"
"1","4","1","0","0","-5","5.2","0.87","0","-5","0","0"
"1","4","2","0","0","-4","6","0.87","0","-4","0","0"
"1","4","3","0","0","-3","6.6","0.87","0","-3","0","0"
"1","4","4","0","0","-3","6.9","0.87","0","-3","0","0"
"1","4","5","0","0","-3","7.1","0.87","0","-3","0","0"
"1","4","6","0","0","-3","7.4","0.87","0","-3","0","0"
"1","4","7","0","0","-3","7.5","0.87","0","-3","0","0"
"1","4","8","270","24","-3","7.7","0.87","101.124","-2.029","149477.278","134305.488"
"1","4","9","590","61","-3","8.2","0.87","402.062","1.305","931285.78","888411.406"
"1","4","10","711","86","-2","8.5","0.87","512.345","3.354","1193771.04","1141595.77"
"1","4","11","776","98","-1","8.3","0.87","477.257","4.051","1088614.295","1040165.146"
"1","4","12","812","98","-1","8.1","0.87","434.002","3.653","972110.448","927789.494"
"1","4","13","785","99","0","7.8","0.87","470.626","5.206","1064168.494","1016585.557"
"1","4","14","764","80","0","7.4","0.87","524.138","6.061","1211194.91","1158402.243"
"1","4","15","653","61","0","7.1","0.87","464.494","5.524","1068224.851","1020498.181"
"1","4","16","360","32","-1","7","0.87","153.307","0.767","303654.244","283019.351"
"1","4","17","0","0","-2","7.1","0.87","0","-2","0","0"
"1","4","18","0","0","-2","7","0.87","0","-2","0","0"
"1","4","19","0","0","-2","6.7","0.87","0","-2","0","0"
"1","4","20","0","0","-2","6.1","0.87","0","-2","0","0"
"1","4","21","0","0","-3","5.2","0.87","0","-3","0","0"
"1","4","22","0","0","-4","4.3","0.87","0","-4","0","0"
"1","4","23","0","0","-5","3.8","0.87","0","-5","0","0"
"1","5","0","0","0","-6","3.6","0.87","0","-6","0","0"
"1","5","1","0","0","-6","3.5","0.87","0","-6","0","0"
"1","5","2","0","0","-6","3.4","0.87","0","-6","0","0"
"1","5","3","0","0","-6","2.9","0.87","0","-6","0","0"
"1","5","4","0","0","-6","2.4","0.87","0","-6","0","0"
"1","5","5","0","0","-6","1.9","0.87","0","-6","0","0"
"1","5","6","0","0","-6","1.5","0.87","0","-6","0","0"
"1","5","7","0","0","-6","1.3","0.87","0","-6","0","0"
"1","5","8","285","26","-5","1.6","0.87","105.034","-2.637","155829.344","140432.475"
"1","5","9","622","60","-4","2.8","0.87","418.587","4.698","959821.099","915935.605"
"1","5","10","757","80","-3","3.9","0.87","533.592","6.327","1232549.718","1179000.365"
"1","5","11","807","94","-2","4.3","0.87","489.785","6.049","1111043.263","1061799.366"
"1","5","12","26","161","-2","4.6","0.87","171.202","0.689","379135.188","355825.704"
"1","5","13","49","165","-1","4.7","0.87","180.591","1.803","401125.866","377037.165"
"1","5","14","184","136","-1","4.8","0.87","241.33","2.715","547712.964","518430.1"
"1","5","15","0","74","-1","4.6","0.87","67.41","0.06","145455.021","130425.755"
"1","5","16","0","23","-1","4.3","0.87","19.052","-0.699","34920.234","23807.655"
"1","5","17","0","0","-2","4.1","0.87","0","-2","0","0"
"1","5","18","0","0","-2","4.3","0.87","0","-2","0","0"
"1","5","19","0","0","-1","4.6","0.87","0","-1","0","0"
"1","5","20","0","0","-1","4.8","0.87","0","-1","0","0"
"1","5","21","0","0","-1","5.2","0.87","0","-1","0","0"
"1","5","22","0","0","-1","5.4","0.87","0","-1","0","0"
"1","5","23","0","0","-1","5.5","0.87","0","-1","0","0"
"1","6","0","0","0","0","5.6","0.87","0","0","0","0"
"1","6","1","0","0","0","5.5","0.87","0","0","0","0"
"1","6","2","0","0","0","5.4","0.87","0","0","0","0"
"1","6","3","0","0","-1","5.5","0.87","0","-1","0","0"
"1","6","4","0","0","-1","5.3","0.87","0","-1","0","0"
"1","6","5","0","0","-1","5","0.87","0","-1","0","0"
"1","6","6","0","0","-1","4.8","0.87","0","-1","0","0"
"1","6","7","0","0","-1","4.8","0.87","0","-1","0","0"
"1","6","8","0","2","0","5.1","0.87","1.642","0.021","1991.896","0"
"1","6","9","0","11","0","5.1","0.87","9.064","0.133","18000.192","7487.158"
"1","6","10","0","32","0","5","0.87","26.472","0.396","55278.688","43444.728"
"1","6","11","16","145","0","4.8","0.87","139.648","2.14","307285.557","286521.992"
"1","6","12","0","117","0","4.6","0.87","116.497","1.83","253837.817","234968.118"
"1","6","13","0","131","1","4.2","0.87","120.876","3.007","263522.238","244309.381"
"1","6","14","0","90","1","3.9","0.87","76.985","2.335","166080.557","150320.446"
"1","6","15","0","31","0","3.9","0.87","25.639","0.444","53233.962","41472.455"
"1","6","16","169","43","0","4.1","0.87","122.202","2.003","244382.168","225847.521"
"1","6","17","0","0","0","4.5","0.87","0","0","0","0"
"1","6","18","0","0","0","4.9","0.87","0","0","0","0"
"1","6","19","0","0","0","4.7","0.87","0","0","0","0"
"1","6","20","0","0","-1","4.3","0.87","0","-1","0","0"
"1","6","21","0","0","-1","4.2","0.87","0","-1","0","0"
"1","6","22","0","0","-1","3.8","0.87","0","-1","0","0"
"1","6","23","0","0","-2","3","0.87","0","-2","0","0"
"1","7","0","0","0","-2","2.3","0.87","0","-2","0","0"
"1","7","1","0","0","-3","1.8","0.87","0","-3","0","0"
"1","7","2","0","0","-3","1.6","0.87","0","-3","0","0"
"1","7","3","0","0","-3","1.4","0.87","0","-3","0","0"
"1","7","4","0","0","-4","1.4","0.87","0","-4","0","0"
"1","7","5","0","0","-4","1.5","0.87","0","-4","0","0"
"1","7","6","0","0","-5","1.8","0.87","0","-5","0","0"
"1","7","7","0","0","-6","2.1","0.87","0","-6","0","0"
"1","7","8","273","27","-6","2.5","0.87","104.636","-4.035","155964.463","140562.806"
"1","7","9","612","63","-3","3.7","0.87","418.972","4.526","961340.214","917400.892"
"1","7","10","787","76","-1","5","0.87","549.809","7.28","1266991.245","1212221.492"
"1","7","11","853","85","0","6","0.87","505.812","6.734","1147071.041","1096550.537"
"1","7","12","878","87","0","6.7","0.87","455.582","5.596","1016628.729","970730.315"
"1","7","13","871","82","0","7","0.87","494.973","5.917","1118545.775","1069036.034"
"1","7","14","819","75","0","7","0.87","548.067","6.593","1265688.205","1210964.624"
"1","7","15","696","61","0","6.7","0.87","502.076","6.222","1155178.453","1104370.672"
"1","7","16","409","35","0","6.4","0.87","174.881","2.173","359998.87","337367.463"
"1","7","17","0","0","-1","6.1","0.87","0","-1","0","0"
"1","7","18","0","0","-2","5.9","0.87","0","-2","0","0"
"1","7","19","0","0","-2","6.1","0.87","0","-2","0","0"
"1","7","20","0","0","-2","6.2","0.87","0","-2","0","0"
"1","7","21","0","0","-2","6.1","0.87","0","-2","0","0"
"1","7","22","0","0","-3","5.8","0.87","0","-3","0","0"
