\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2018-08-30 08:02:56,,,,,,,,
\\For 2016,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2016-01-01,1,-1.09,0,0,0,,,
2016-01-01,2,-2.41,0,0,-4.3,,,
2016-01-01,3,-4.23,-4.1,-4.1,-4.3,,,
2016-01-01,4,-4.4,-4.3,-4.3,-4.3,,,
2016-01-01,5,-4.44,-4.3,-4.3,-4.4,,,
2016-01-01,6,-4.43,-4.3,-4.3,-4.3,,,
2016-01-01,7,-4.33,-4.1,-4.1,-4.3,,,
2016-01-01,8,-4.3,-4.1,-4.1,-0.25,,,
2016-01-01,9,-4.27,-0.02,-3,0,,,
2016-01-01,10,-4.28,-2,-2,-0.02,,,
2016-01-01,11,-3.76,0,0,-4.3,,,
2016-01-01,12,0,0,0,0,,,
2016-01-01,13,0,0,0,0,,,
2016-01-01,14,0,0,0,0,,,
2016-01-01,15,0,0,0,0,,,
2016-01-01,16,0,0,0,0,,,
2016-01-01,17,1,4.56,5,4.74,,,
2016-01-01,18,6.34,5.86,5.88,7.28,,,
2016-01-01,19,5.88,5.69,5.67,4.56,,,
2016-01-01,20,5.81,5.69,5.67,1,,,
2016-01-01,21,5.7,5.69,4.74,4.56,,,
2016-01-01,22,6.51,5.96,5.98,4.76,,,
2016-01-01,23,2.75,5.82,5.8,1,,,
2016-01-01,24,0.49,3,3,0,,,
2016-01-02,1,0,0,0,0,,,
2016-01-02,2,0,0,0,0,,,
2016-01-02,3,-0.85,0,0,0,,,
2016-01-02,4,-4.12,-2.5,0,-4.1,,,
2016-01-02,5,-4.1,-3,-3,0,,,
2016-01-02,6,-4.26,0,0,-2,,,
2016-01-02,7,-1.64,0,0,0,,,
2016-01-02,8,-1.29,0,0,0.5,,,
2016-01-02,9,3.61,0,5.88,5.9,,,
2016-01-02,10,7.49,5.88,5.56,6,,,
2016-01-02,11,12.36,12.35,12.32,4.76,,,
2016-01-02,12,10.72,4.54,3.56,4.54,,,
2016-01-02,13,11.25,7.56,4.76,5.9,,,
2016-01-02,14,0,5.94,2.56,4.74,,,
2016-01-02,15,0,5.92,5.96,1,,,
2016-01-02,16,0,8.56,5.92,5.96,,,
2016-01-02,17,2.96,18,22,14.35,,,
2016-01-02,18,5.85,25,23.26,14.76,,,
2016-01-02,19,5.6,14.28,14.32,14.1,,,
2016-01-02,20,1.82,13.42,14.04,13.42,,,
2016-01-02,21,0,5.67,5.86,5.86,,,
2016-01-02,22,0,0,0,4.54,,,
2016-01-02,23,0,0,0,0,,,
2016-01-02,24,0,0,0,0,,,
2016-01-03,1,-0.35,0,0,0,,,
2016-01-03,2,-4.26,-4.1,-4.1,-4.3,,,
2016-01-03,3,-4.27,-4.1,-4.1,-4.1,,,
2016-01-03,4,-4.3,-4.3,-4.3,-4.3,,,
2016-01-03,5,-4.36,-4.3,-4.3,-4.4,,,
2016-01-03,6,-4.17,-4.3,-4.3,-4.3,,,
2016-01-03,7,-2.64,-3.65,-4.1,-4.1,,,
2016-01-03,8,-0.25,0,0,-4.1,,,
2016-01-03,9,-0.37,0,0,0,,,
2016-01-03,10,0,0,0,0,,,
2016-01-03,11,0,1,1,0,,,
2016-01-03,12,0,0,0,0,,,
2016-01-03,13,0.76,5.83,5.92,4.59,,,
2016-01-03,14,0,1,5.76,5.76,,,
2016-01-03,15,5.17,5.88,5.9,5.83,,,
2016-01-03,16,5.89,5.94,5.92,5.67,,,
2016-01-03,17,9.27,20,20,14.34,,,
2016-01-03,18,21.67,25.54,29,24.58,,,
2016-01-03,19,20.89,25.45,25.45,16.55,,,
2016-01-03,20,52.45,25.5,25.5,15.47,,,
2016-01-03,21,22.63,14.37,14.38,14.39,,,
2016-01-03,22,26.69,25.2,20.08,14.36,,,
2016-01-03,23,14.64,12,14.04,14.04,,,
