"PVWatts Hourly PV Performance Data"
"Requested Location","Sarnia"
"Location","Lat, Lng: 42.97, -82.42"
"Latitude (DD)","42.97"
"Longitude (DD)","-82.42"
"Elevation (m)","180.88000488281"
"DC System Size (kW)","2491.5"
"Module Type","Premium"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-4","4.4","0.87","0","-4","0","0"
"1","1","1","0","0","-5","4.3","0.87","0","-5","0","0"
"1","1","2","0","0","-5","4.1","0.87","0","-5","0","0"
"1","1","3","0","0","-6","3.9","0.87","0","-6","0","0"
"1","1","4","0","0","-6","3.9","0.87","0","-6","0","0"
"1","1","5","0","0","-6","3.9","0.87","0","-6","0","0"
"1","1","6","0","0","-7","3.8","0.87","0","-7","0","0"
"1","1","7","0","0","-7","3.6","0.87","0","-7","0","0"
"1","1","8","307","26","-7","3.5","0.87","120.6","-4.908","161930.736","146317.67"
"1","1","9","662","57","-6","4","0.87","377.207","1.469","851740.377","811684.613"
"1","1","10","803","74","-5","4.6","0.87","570.783","5.488","1318367.435","1261777.219"
"1","1","11","863","84","-5","4.5","0.87","696.424","7.961","1595214.387","1528814.382"
"1","1","12","881","88","-5","4.1","0.87","742.566","9.599","1690001.482","1620242.794"
"1","1","13","861","86","-5","3.9","0.87","702.808","9.226","1602670.487","1536006.283"
"1","1","14","805","77","-5","3.5","0.87","589.305","7.677","1351390.698","1293630.336"
"1","1","15","686","59","-5","2.9","0.87","402.152","4.484","907068.464","865052.206"
"1","1","16","395","29","-7","2.5","0.87","159.58","-3.319","274034.157","254448.821"
"1","1","17","0","0","-8","2.5","0.87","0","-8","0","0"
"1","1","18","0","0","-9","2.5","0.87","0","-9","0","0"
"1","1","19","0","0","-9","2.5","0.87","0","-9","0","0"
"1","1","20","0","0","-9","2.6","0.87","0","-9","0","0"
"1","1","21","0","0","-9","2.8","0.87","0","-9","0","0"
"1","1","22","0","0","-10","3","0.87","0","-10","0","0"
"1","1","23","0","0","-11","3.1","0.87","0","-11","0","0"
"1","2","0","0","0","-12","3.2","0.87","0","-12","0","0"
"1","2","1","0","0","-13","3.3","0.87","0","-13","0","0"
"1","2","2","0","0","-13","3.3","0.87","0","-13","0","0"
"1","2","3","0","0","-14","3.4","0.87","0","-14","0","0"
"1","2","4","0","0","-13","3.3","0.87","0","-13","0","0"
"1","2","5","0","0","-13","3.2","0.87","0","-13","0","0"
"1","2","6","0","0","-13","3","0.87","0","-13","0","0"
"1","2","7","0","0","-13","2.8","0.87","0","-13","0","0"
"1","2","8","0","18","-11","2.8","0.87","17.434","-10.644","24465.714","13723.58"
"1","2","9","14","75","-8","3.4","0.87","84.467","-6.171","186873.487","170376.601"
"1","2","10","35","122","-6","3.9","0.87","154.514","-2.888","348756.746","326523.692"
"1","2","11","37","155","-5","3.8","0.87","195.557","-1.006","440423.177","414942.016"
"1","2","12","50","168","-4","3.5","0.87","220.516","0.712","495105.239","467686.476"
"1","2","13","35","155","-4","3.2","0.87","194.063","0.35","434708.499","409429.833"
"1","2","14","21","123","-4","2.4","0.87","140.209","-0.385","312171.835","291235.129"
"1","2","15","0","45","-4","1.6","0.87","43.612","-2.681","93236.894","80057.924"
"1","2","16","0","13","-5","1.4","0.87","12.571","-4.623","21857.28","11207.574"
"1","2","17","0","0","-6","1.5","0.87","0","-6","0","0"
"1","2","18","0","0","-6","1.7","0.87","0","-6","0","0"
"1","2","19","0","0","-7","1.9","0.87","0","-7","0","0"
"1","2","20","0","0","-7","2.1","0.87","0","-7","0","0"
"1","2","21","0","0","-8","2.2","0.87","0","-8","0","0"
"1","2","22","0","0","-8","2.3","0.87","0","-8","0","0"
"1","2","23","0","0","-8","2.4","0.87","0","-8","0","0"
"1","3","0","0","0","-8","2.5","0.87","0","-8","0","0"
"1","3","1","0","0","-7","2.7","0.87","0","-7","0","0"
"1","3","2","0","0","-7","2.9","0.87","0","-7","0","0"
"1","3","3","0","0","-7","3","0.87","0","-7","0","0"
"1","3","4","0","0","-7","3.1","0.87","0","-7","0","0"
"1","3","5","0","0","-7","3.1","0.87","0","-7","0","0"
"1","3","6","0","0","-7","3.3","0.87","0","-7","0","0"
"1","3","7","0","0","-8","3.6","0.87","0","-8","0","0"
"1","3","8","0","12","-7","4.4","0.87","11.606","-6.815","15778.725","5344.406"
"1","3","9","0","31","-6","5.2","0.87","30.011","-5.494","63804.855","51668.779"
"1","3","10","0","76","-5","5.7","0.87","74.879","-3.808","164825.872","149110.22"
"1","3","11","34","152","-4","6","0.87","189.671","-1.08","426780.999","401783.235"
"1","3","12","0","138","-3","6.1","0.87","140.743","-0.861","311795.56","290872.187"
"1","3","13","111","181","-1","6","0.87","288.291","3.444","648747.728","615884.801"
"1","3","14","0","96","-1","5.6","0.87","96.518","0.555","210906.304","193557.839"
"1","3","15","0","27","-1","5.1","0.87","26.128","-0.554","54352.74","42551.591"
"1","3","16","228","37","-1","4.9","0.87","124.172","1.038","222032.628","204289.913"
"1","3","17","0","0","-2","4.4","0.87","0","-2","0","0"
"1","3","18","0","0","-3","4","0.87","0","-3","0","0"
"1","3","19","0","0","-4","4","0.87","0","-4","0","0"
"1","3","20","0","0","-4","4.2","0.87","0","-4","0","0"
"1","3","21","0","0","-4","4.4","0.87","0","-4","0","0"
"1","3","22","0","0","-4","4.3","0.87","0","-4","0","0"
"1","3","23","0","0","-5","4.3","0.87","0","-5","0","0"
"1","4","0","0","0","-5","4.6","0.87","0","-5","0","0"
"1","4","1","0","0","-5","5.2","0.87","0","-5","0","0"
"1","4","2","0","0","-4","6","0.87","0","-4","0","0"
"1","4","3","0","0","-3","6.6","0.87","0","-3","0","0"
"1","4","4","0","0","-3","6.9","0.87","0","-3","0","0"
"1","4","5","0","0","-3","7.1","0.87","0","-3","0","0"
"1","4","6","0","0","-3","7.4","0.87","0","-3","0","0"
"1","4","7","0","0","-3","7.5","0.87","0","-3","0","0"
"1","4","8","270","24","-3","7.7","0.87","108.383","-1.862","143518.731","128558.075"
"1","4","9","590","61","-3","8.2","0.87","348.881","1.304","786738.348","748985.864"
"1","4","10","711","86","-2","8.5","0.87","535.101","4.479","1237428.691","1183706.456"
"1","4","11","776","98","-1","8.3","0.87","659.869","7.126","1513019.585","1449532.069"
"1","4","12","812","98","-1","8.1","0.87","712.661","7.932","1628743.526","1561155.451"
"1","4","13","785","99","0","7.8","0.87","674.388","8.691","1538072.106","1473696.88"
"1","4","14","764","80","0","7.4","0.87","572.898","7.675","1312668.54","1256280.259"
"1","4","15","653","61","0","7.1","0.87","393.598","5.404","887132.17","845822.334"
"1","4","16","360","32","-1","7","0.87","156.423","1.027","282724.696","262831.42"
"1","4","17","0","0","-2","7.1","0.87","0","-2","0","0"
"1","4","18","0","0","-2","7","0.87","0","-2","0","0"
"1","4","19","0","0","-2","6.7","0.87","0","-2","0","0"
"1","4","20","0","0","-2","6.1","0.87","0","-2","0","0"
"1","4","21","0","0","-3","5.2","0.87","0","-3","0","0"
"1","4","22","0","0","-4","4.3","0.87","0","-4","0","0"
"1","4","23","0","0","-5","3.8","0.87","0","-5","0","0"
"1","5","0","0","0","-6","3.6","0.87","0","-6","0","0"
"1","5","1","0","0","-6","3.5","0.87","0","-6","0","0"
"1","5","2","0","0","-6","3.4","0.87","0","-6","0","0"
"1","5","3","0","0","-6","2.9","0.87","0","-6","0","0"
"1","5","4","0","0","-6","2.4","0.87","0","-6","0","0"
"1","5","5","0","0","-6","1.9","0.87","0","-6","0","0"
"1","5","6","0","0","-6","1.5","0.87","0","-6","0","0"
"1","5","7","0","0","-6","1.3","0.87","0","-6","0","0"
"1","5","8","285","26","-5","1.6","0.87","113.967","-2.196","151258.503","136023.597"
"1","5","9","622","60","-4","2.8","0.87","361.966","4.666","807794.859","769296.259"
"1","5","10","757","80","-3","3.9","0.87","555.464","8.249","1269859.49","1214988.104"
"1","5","11","807","94","-2","4.3","0.87","676.827","10.94","1533032.028","1468835.392"
"1","5","12","26","161","-2","4.6","0.87","185.426","1.382","412224.164","387742.207"
"1","5","13","49","165","-1","4.7","0.87","215.894","2.89","481152.289","454227.935"
"1","5","14","184","136","-1","4.8","0.87","269.717","3.811","609371.747","577904.067"
"1","5","15","0","74","-1","4.6","0.87","75.525","0.376","163038.687","147386.362"
"1","5","16","0","23","-1","4.3","0.87","22.279","-0.592","40997.673","29669.746"
"1","5","17","0","0","-2","4.1","0.87","0","-2","0","0"
"1","5","18","0","0","-2","4.3","0.87","0","-2","0","0"
"1","5","19","0","0","-1","4.6","0.87","0","-1","0","0"
"1","5","20","0","0","-1","4.8","0.87","0","-1","0","0"
"1","5","21","0","0","-1","5.2","0.87","0","-1","0","0"
"1","5","22","0","0","-1","5.4","0.87","0","-1","0","0"
"1","5","23","0","0","-1","5.5","0.87","0","-1","0","0"
"1","6","0","0","0","0","5.6","0.87","0","0","0","0"
"1","6","1","0","0","0","5.5","0.87","0","0","0","0"
"1","6","2","0","0","0","5.4","0.87","0","0","0","0"
"1","6","3","0","0","-1","5.5","0.87","0","-1","0","0"
"1","6","4","0","0","-1","5.3","0.87","0","-1","0","0"
"1","6","5","0","0","-1","5","0.87","0","-1","0","0"
"1","6","6","0","0","-1","4.8","0.87","0","-1","0","0"
"1","6","7","0","0","-1","4.8","0.87","0","-1","0","0"
"1","6","8","0","2","0","5.1","0.87","1.93","0.028","2353.928","0"
"1","6","9","0","11","0","5.1","0.87","10.63","0.181","21208.707","10581.982"
"1","6","10","0","32","0","5","0.87","30.979","0.537","64932.05","52756.033"
"1","6","11","16","145","0","4.8","0.87","160.516","2.853","353621.475","331216.044"
"1","6","12","0","117","0","4.6","0.87","117.199","2.136","255216.164","236297.624"
"1","6","13","0","131","1","4.2","0.87","133.304","3.566","290395.85","270230.755"
"1","6","14","0","90","1","3.9","0.87","89.66","2.803","193759.096","177018.224"
"1","6","15","0","31","0","3.9","0.87","30.008","0.603","62535.124","50444.039"
"1","6","16","169","43","0","4.1","0.87","111.663","2.082","209755.253","192447.575"
"1","6","17","0","0","0","4.5","0.87","0","0","0","0"
"1","6","18","0","0","0","4.9","0.87","0","0","0","0"
"1","6","19","0","0","0","4.7","0.87","0","0","0","0"
"1","6","20","0","0","-1","4.3","0.87","0","-1","0","0"
"1","6","21","0","0","-1","4.2","0.87","0","-1","0","0"
"1","6","22","0","0","-1","3.8","0.87","0","-1","0","0"
"1","6","23","0","0","-2","3","0.87","0","-2","0","0"
"1","7","0","0","0","-2","2.3","0.87","0","-2","0","0"
"1","7","1","0","0","-3","1.8","0.87","0","-3","0","0"
"1","7","2","0","0","-3","1.6","0.87","0","-3","0","0"
"1","7","3","0","0","-3","1.4","0.87","0","-3","0","0"
"1","7","4","0","0","-4","1.4","0.87","0","-4","0","0"
"1","7","5","0","0","-4","1.5","0.87","0","-4","0","0"
"1","7","6","0","0","-5","1.8","0.87","0","-5","0","0"
"1","7","7","0","0","-6","2.1","0.87","0","-6","0","0"
"1","7","8","273","27","-6","2.5","0.87","111.557","-3.707","149029.481","133873.558"
"1","7","9","612","63","-3","3.7","0.87","360.706","4.466","805690.441","767266.409"
"1","7","10","787","76","-1","5","0.87","569.114","8.93","1298953.869","1243051.553"
"1","7","11","853","85","0","6","0.87","694.992","10.763","1576284.33","1510555.093"
"1","7","12","878","87","0","6.7","0.87","746.165","10.712","1690928.859","1621137.311"
"1","7","13","871","82","0","7","0.87","714.206","9.947","1624160.874","1556735.18"
"1","7","14","819","75","0","7","0.87","601.859","8.389","1377219.715","1318544.129"
"1","7","15","696","61","0","6.7","0.87","418.879","5.995","946445.179","903033.647"
"1","7","16","409","35","0","6.4","0.87","176.927","2.477","333021.965","311346.457"
"1","7","17","0","0","-1","6.1","0.87","0","-1","0","0"
"1","7","18","0","0","-2","5.9","0.87","0","-2","0","0"
"1","7","19","0","0","-2","6.1","0.87","0","-2","0","0"
"1","7","20","0","0","-2","6.2","0.87","0","-2","0","0"
"1","7","21","0","0","-2","6.1","0.87","0","-2","0","0"
"1","7","22","0","0","-3","5.8","0.87","0","-3","0","0"
